,Attribute,Label,Description,Required,Valid Values,Component
Timepoint,Timepoint,Timepoint,"Label to identify the time point at which the clinical data or biospecimen was obtained (e.g. Baseline, End of Treatment, Overall survival, Final). NO PHI/PII INFORMATION IS ALLOWED.",False,,Biospecimen
Biospecimen ID,Biospecimen ID,BiospecimenID,ID associated with a biosample,True,,Biospecimen
Individual ID,Individual ID,IndividualID,ID associated with a study participant,True,,Biospecimen
Biospecimen Type,Biospecimen Type,BiospecimenType,The type of biospecimen,True,"['Urine', 'Tissue', 'Blood', 'Analyte', 'Mouth Rinse', 'Sputum', 'Stool', 'Bone Marrow', 'Cells', 'Fluids', 'Ascites']",Biospecimen
Site of Resection or Biopsy,Site of Resection or Biopsy,SiteofResectionorBiopsy,The text term used to describe the anatomic site of the resection or biopsy of the patient's malignant disease.,False,"['Artery', 'Trachea', 'Tongue', 'Intestine', 'Lymphoid Tissue', 'Blood', 'Eye', 'Gastroesophageal Junction', 'Cervix Uteri', 'Lymphatic System', 'Endocervix', 'Thymus', 'Omentum', 'Olfactory Mucosa', 'Adrenal Gland', 'Kidney', 'Ovary', 'Vascular Endothelium', 'Placenta', 'Pending Annotation', 'Epithelium', 'Salivary Gland', 'Lung', 'Ear', 'Hippocampus', 'Pituitary Gland', 'Duodenum', 'Lymph Node', 'Pharynx', 'Foreskin', 'Adipose Tissue', 'Hematopoietic System', 'Genitourinary', 'Synovial Membrane', 'Not Applicable', 'Fallopian Tube', 'Aorta', 'Vertebra', 'Blood Vessel', 'Spinal Cord', 'Stomach', 'Cancer-Associated Fibroblast', 'Endothelium', 'Testis', 'Mammary Gland', 'Pleura', 'Gastrointestinal Tract', 'Joint', 'Periodontal Ligament', 'Vagina', 'Frontal Lobe', 'Breast', 'Bile Duct', 'Hair Follicle', 'Skin', 'Cardia', 'Ligament', 'Rectum', 'Caecum', 'Main Bronchus', 'Respiratory System', 'Embryonic Heart', 'Meninges', 'Brain', 'Alveolus', 'Intra-Abdominal Lymph Nodes', 'Uterus', 'Liver', 'Bone', 'Mesenchyme', 'Head and Neck', 'Heart Muscle', 'Embryo', 'Thyroid Gland', 'Cartilage', 'Abdominal Esophagus', 'Nervous System', 'Reproductive System', 'Intrathoracic Lymph Nodes', 'Peritoneum', 'Heart', 'Peripheral Blood Mononuclear Cell', 'Muscle', 'Prostate Gland', 'Mucosa', 'Connective and Soft Tissue', 'Larynx', 'Sclera', 'Unspecified', 'Nasal Cavity', 'Small Intestine', 'Endometrium', 'Esophagus', 'Tonsil', 'Gonad', 'Choroid', 'Sinonasal Tract', 'Lymph Nodes of Axilla or Arm', 'Pelvic Lymph Nodes', 'Oral Cavity', 'Colon', 'Lymph', 'Ascending Colon', 'Bladder', 'Spleen', 'Umbilical Cord', 'Peripheral Nerves', 'Lymph Nodes of Inguinal Region or Leg', 'Vein', 'Pancreas', 'Oral Mucosa', 'Bone Marrow', 'Cornea', 'Tendon', '']",Biospecimen
Biospecimen Composition,Biospecimen Composition,BiospecimenComposition,"The text term used to describe the type(s) of tissue contained in the biospecimen. Multiple values permitted, comma separated.",False,,Biospecimen
Preservation Method,Preservation Method,PreservationMethod,Text term that represents the method used to preserve the sample.,False,"['Cryopreservation in liquid nitrogen - live cells', 'Frozen', 'Liquid Nitrogen', 'Fresh dissociated and single cell sorted', 'unknown', 'Cryopreservation in dry ice - dead tissue', 'Fresh dissociated', 'Snap Frozen', 'Fresh', 'Cryopreserved', 'Cryopreservation in liquid nitrogen - dead tissue', 'Formalin fixed paraffin embedded - FFPE', 'Formalin fixed-buffered', 'Fresh dissociated and single cell sorted into plates', 'Negative 80 Deg C', 'Methacarn fixed paraffin embedded - MFPE', 'Not Reported', 'Formalin fixed-unbuffered', 'Fresh dissociated and single cell sorted into plates in NP40 buffer', 'OCT', '']",Biospecimen
Site of Origin,Site of Origin,SiteofOrigin,"The text term used to describe the anatomic site of origin, of the patient's malignant disease.",False,"['Artery', 'Trachea', 'Tongue', 'Intestine', 'Lymphoid Tissue', 'Blood', 'Eye', 'Gastroesophageal Junction', 'Cervix Uteri', 'Lymphatic System', 'Endocervix', 'Thymus', 'Omentum', 'Olfactory Mucosa', 'Adrenal Gland', 'Kidney', 'Ovary', 'Vascular Endothelium', 'Placenta', 'Pending Annotation', 'Epithelium', 'Salivary Gland', 'Lung', 'Ear', 'Hippocampus', 'Pituitary Gland', 'Duodenum', 'Lymph Node', 'Pharynx', 'Foreskin', 'Adipose Tissue', 'Hematopoietic System', 'Genitourinary', 'Synovial Membrane', 'Not Applicable', 'Fallopian Tube', 'Aorta', 'Vertebra', 'Blood Vessel', 'Spinal Cord', 'Stomach', 'Cancer-Associated Fibroblast', 'Endothelium', 'Testis', 'Mammary Gland', 'Pleura', 'Gastrointestinal Tract', 'Joint', 'Periodontal Ligament', 'Vagina', 'Frontal Lobe', 'Breast', 'Bile Duct', 'Hair Follicle', 'Skin', 'Cardia', 'Ligament', 'Rectum', 'Caecum', 'Main Bronchus', 'Respiratory System', 'Embryonic Heart', 'Meninges', 'Brain', 'Alveolus', 'Intra-Abdominal Lymph Nodes', 'Uterus', 'Liver', 'Bone', 'Mesenchyme', 'Head and Neck', 'Heart Muscle', 'Embryo', 'Thyroid Gland', 'Cartilage', 'Abdominal Esophagus', 'Nervous System', 'Reproductive System', 'Intrathoracic Lymph Nodes', 'Peritoneum', 'Heart', 'Peripheral Blood Mononuclear Cell', 'Muscle', 'Prostate Gland', 'Mucosa', 'Connective and Soft Tissue', 'Larynx', 'Sclera', 'Unspecified', 'Nasal Cavity', 'Small Intestine', 'Endometrium', 'Esophagus', 'Tonsil', 'Gonad', 'Choroid', 'Sinonasal Tract', 'Lymph Nodes of Axilla or Arm', 'Pelvic Lymph Nodes', 'Oral Cavity', 'Colon', 'Lymph', 'Ascending Colon', 'Bladder', 'Spleen', 'Umbilical Cord', 'Peripheral Nerves', 'Lymph Nodes of Inguinal Region or Leg', 'Vein', 'Pancreas', 'Oral Mucosa', 'Bone Marrow', 'Cornea', 'Tendon', '']",Biospecimen
Sex,Sex,Sex,Biological sex associated with the specimen donor,False,"['Other', 'M', 'unknown', 'F', '']",Biospecimen
Study Investigator,Study Investigator,StudyInvestigator,Investigator(s) associated with the project. Multiple names should be provided as a comma-separated list.,True,,Study
PersonView Key,PersonView Key,PersonViewKey,"Unique PersonView_id foreign key(s) that group the resource with other components, as part of the same person-associated studies. Please provide multiple values as a comma-separated list.",False,,Study
GrantView Key,GrantView Key,GrantViewKey,"Unique GrantView_id foreign key(s) that group the resource with other components, as part of the same grant-associated collection. Please provide multiple values as a comma-separated list.",False,,Study
ProjectView Key,ProjectView Key,ProjectViewKey,"Unique ProjectView_id foreign key(s) that group the resource with other components, as part of the same grant-associated studies. Please provide multiple values as a comma-separated list.",False,,Study
Study_id,Study_id,StudyId,A unique primary key that enables record updates using schematic.,True,,Study
Component,Component,Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",True,,Study
Study Name,Study Name,StudyName,Name of the study,True,,Study
Study Reuse Statement,Study Reuse Statement,StudyReuseStatement,"The funder-, contributor-, patient-, etc., derived content that includes terms, conditions, or statements associated with accessing and reusing the resource(s).",False,,Study
Study Description,Study Description,StudyDescription,"Description of the study, including the types of experimental assays, model systems, types of analysis, etc.",True,,Study
Grant Theme Name,Grant Theme Name,GrantThemeName,Theme(s) associated with the grant. 1...*,True,,GrantView
Embargo End Date,Embargo End Date,EmbargoEndDate,Date at which an embargo on related resources had lifted,False,,GrantView
NIH RePORTER Link,NIH RePORTER Link,NIHRePORTERLink,Link to the search results for this grant number on the NIH Reporter website,True,,GrantView
Duration of Funding,Duration of Funding,DurationofFunding,"Duration of the funding period, in years",False,,GrantView
Grant Name,Grant Name,GrantName,Name of the grant,True,,GrantView
Grant Institution Name,Grant Institution Name,GrantInstitutionName,The full name of the institution(s) associated with the grant. (e.g. Harvard University). 1...*,True,,GrantView
Grant Number,Grant Number,GrantNumber,"Number of the grant (i.e. ""CA------"" format)",True,,GrantView
Grant Type,Grant Type,GrantType,Type of grant,True,"['R21', 'R37', 'U54', 'R01', 'U01', 'U24']",GrantView
Grant Synapse Team,Grant Synapse Team,GrantSynapseTeam,"The Synapse team associated with the grant, created by the MC2 Center",False,,GrantView
Grant Abstract,Grant Abstract,GrantAbstract,Abstract for the grant,True,,GrantView
Component,Component,Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",True,,GrantView
Grant Institution Alias,Grant Institution Alias,GrantInstitutionAlias,The alias of the institution(s) associated with the grant (e.g. UCSD). 1...*,True,,GrantView
Grant Consortium Name,Grant Consortium Name,GrantConsortiumName,Consortium(s) associated with the grant. 1...1,True,"['CCBIR', 'CSBC', 'PS-ON', 'TEC', 'PDMC', 'Sage Bionetworks', 'ICBP', 'MetNet', 'NCI Clinical and Translational Exploratory/Developmental Studies', 'HTAN', 'NCI']",GrantView
Grant Investigator,Grant Investigator,GrantInvestigator,Investigator(s) associated witht the grant. 1...*,True,,GrantView
Grant Start Date,Grant Start Date,GrantStartDate,The start date of the grant YYYY-MM-DD format,True,,GrantView
Grant Synapse Project,Grant Synapse Project,GrantSynapseProject,"The Synapse project associated with the grant, created by the MC2 Center",False,,GrantView
GrantView_id,GrantView_id,GrantViewId,A unique primary key that enables record updates using schematic.,True,,GrantView
File Description,File Description,FileDescription,Description of the file.,False,,FileView
File Species,File Species,FileSpecies,"The species the data was collected on. Multiple values permitted, comma separated.",True,,FileView
Biospecimen Key,Biospecimen Key,BiospecimenKey,Unique Biospecimen_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,False,,FileView
FileView_id,FileView_id,FileViewId,A unique primary key that enables record updates using schematic.,True,,FileView
DatasetView Key,DatasetView Key,DatasetViewKey,Unique DatasetView_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,False,,FileView
Data Use Codes,Data Use Codes,DataUseCodes,"DUO code - A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.",False,,FileView
